Pub_date,Topics,Title,Author,Publisher,Language,Description,Access_restricted,Added_date,Pdf_link,TXT_link,ISBN
2012-03-26,#Null,S1E12: We Care About Everyone with William Flesch,Colin Marshall,#Null,English,"Download the interview from Notebook on Cities and Culture’s feed here or on iTunes here.
",#Null,2020-04-11 08:32:13,#Null,/download/podcast_notebook-on-cities-culture_s1e12-we-care-about-everyone_1000112177408/podcast_notebook-on-cities-culture_s1e12-we-care-about-everyone_1000112177408_vbr.m3u,[]
1993,Morals,The book of virtues : a treasury of great moral stories,#Null,New York : Simon & Schuster,English,"Well-known works including fables, folklore, fiction, drama, and more, by such authors as Aesop, Dickens, Tolstoy, Shakespeare, and Baldwin, are presented to teach virtues, including compassion, courage, honesty, friendship, and faith",true,2020-02-07 16:01:54,#Null,#Null,"['0671683063', '9780671683061', '9780684835778', '0684835770']"
2019,Gogol,Diary Of A Madman And Other Stories (N. V. Gogol),Victorian Vault,#Null,English,#Null,#Null,2019-02-04 06:48:27,/download/DiaryOfAMadmanAndOtherStoriesByN.V.Gogol/Diary%20of%20a%20Madman%20and%20other%20Stories%20by%20N.%20V.%20Gogol.pdf,/stream/DiaryOfAMadmanAndOtherStoriesByN.V.Gogol/Diary%20of%20a%20Madman%20and%20other%20Stories%20by%20N.%20V.%20Gogol_djvu.txt,[]
2017-12-15,#Null,Episode 664: CUTV News Radio spotlights author Marcia Chellis,CUTV News Radio,#Null,#Null," After a career in education, Marcia Chellis became a New York Times and London Timesbestselling author of four books: Living With the Kennedys: The Joan Kennedy Story; Ordinary Women, Extraordinary Lives; The Girls From Winnetka; and her most recent book Love Letters in the Sand.",true,2019-04-29 13:49:56,#Null,#Null,[]
2020-09-30,Podcast,[Episode 447] An Interview with Dr. Michael Rectenwald,Unsafe Space,#Null,#Null,#Null,#Null,2021-05-13 05:01:41,#Null,/download/pfxuiyt2vgyo1ujgh2hvjhoxbm0ug8pjvbm1viik,[]
2014-11-24,#Null,Improv and Scripts with Heather Lefkowitz,Nancy Hawthorne,#Null,#Null, ,#Null,2019-04-17 04:59:04,#Null,/download/podcast_modern-day-flappers_improv-scripts-with-heathe_1000326052762/podcast_modern-day-flappers_improv-scripts-with-heathe_1000326052762_vbr.m3u,[]
2014-05-23,#Null,Getting the Life You Love with B. J. Gallagher!,Coach Cafe Radio,#Null,#Null,"Inspired by the timeless quote by the great writer George Eliot, It's Never Too Late to Be What You Might Have Been is a guidebook to getting the life you've always wanted. Written in best-selling author BJ Gallagher's trademark warm and witty style, this book is written for, in her own words, ""Everyone who has let fear or busyness or any reason good or bad get in the way of achieving your highest goals and long-held dreams, and isn't that everyone?""",#Null,2019-08-02 00:34:04,#Null,/download/podcast_coach-cafe-radio_getting-life-you-love-with_1000362842288/podcast_coach-cafe-radio_getting-life-you-love-with_1000362842288_vbr.m3u,[]
2012-07-19,#Null,"Hats and Bats, On Being Batty, Batting and Speaking of Summer (Honey Have You Seen My Seven Pumper?) Oh Yes Squirrels In This Time of Fig Ripening",The Poetry Slowdown with Dr. Barbara Mossberg,#Null,English,"From Part Two, Hats to Bats",true,2018-04-21 12:23:10,#Null,#Null,[]
2016-01-08,#Null,Lunch break with Anne Bogel of Modern Mrs. Darcy,Jacey Verdicchio and Maggie McDaris,#Null,#Null, What you’ll hear,#Null,2019-08-01 00:34:23,#Null,/download/podcast_around-table-podcast_lunch-break-with-anne-bogel_1000360295961/podcast_around-table-podcast_lunch-break-with-anne-bogel_1000360295961_vbr.m3u,[]
2016-02-08,#Null,The do’s and don’ts of failure,Jacey Verdicchio and Maggie McDaris,#Null,#Null, What you'll hear:,#Null,2019-08-01 00:34:45,#Null,/download/podcast_around-table-podcast_the-dos-donts-failure_1000362383700/podcast_around-table-podcast_the-dos-donts-failure_1000362383700_vbr.m3u,[]
